bedrooms,bathrooms,sqft_lot,floors,condition,yr_built,price
3,1.75,11875,1,3,1979,271900
4,2.5,6037,2,3,1991,278000
2,2.5,4440,2,4,1931,820000
3,1.75,7700,1,4,1967,399500
3,2.75,2614,2,4,1979,462000
3,1,12036,1,3,1977,347500
2,0.75,3700,1,3,1914,562100
2,1,7560,1,3,1958,230000
4,2.5,10083,2,5,1966,687000
4,2.5,5762,2,3,2000,725786
3,1,12600,1,4,1969,315500
4,2,7054,1,3,1950,312000
3,3.25,1173,2,3,2002,343000
1,1,6000,1.5,3,2015,385195
4,2.25,12650,1,4,1981,415000
3,1.75,8666,2,4,1948,461000
4,2.5,7133,2,3,2002,369990
4,2.5,3134,2,3,1999,349950
3,2.25,17126,1,3,1966,285750
4,2.25,10160,1,3,1972,542500
5,3.5,5400,2,3,2011,830000
4,2.5,20946,2,4,1976,705000
2,1,5000,1,3,1949,615000
2,1,5880,1,3,1940,184500
2,1,5120,1,3,1901,412000
3,1.5,11111,1.5,3,1934,250000
5,2,6000,2,3,1903,580000
2,1,6000,1,5,1923,220000
4,2.75,8937,1,4,1976,675000
2,1,3330,1,3,1918,373500
2,1.5,6900,2,3,1910,662700
5,1,6032,2,4,1941,239950
3,1,10196,1,4,1957,383000
3,2.75,12350,1,4,1975,485000
4,2.75,36583,1,5,1976,610000
6,1.75,6250,1,3,1954,545000
2,2.5,2500,2,5,1901,780000
3,2.5,3240,2,3,2005,305000
3,1,15678,1,3,1984,405000
5,3.5,12231,2,3,2001,1.11E+06
3,1.75,9045,2,4,1959,273000
3,1,12375,2,3,1970,326500
3,1.75,9134,1,5,1981,365000
3,2.75,10739,2,3,1987,1.00E+06
2,1,4046,1,3,1940,422500
4,2.75,9920,2,3,1993,354450
3,1,9540,1,4,1971,320000
3,1,9120,1,3,1961,223000
3,2.5,4948,2,3,2008,410000
3,1,4000,1.5,4,1923,438000
3,3,2944,2,3,1993,390000
4,2.5,5954,2,3,2004,298500
5,2.25,13630,2,3,1989,749999
6,2.5,12000,1,3,1966,779000
3,2.75,11936,2,3,1978,570000
3,1,4600,1,3,1918,385000
4,2,11040,1,5,1961,649000
3,1,5247,1,3,1947,283000
4,2.25,16236,1,3,1961,699900
4,1,8400,1,3,1971,278500
4,1.75,9100,1,3,1975,700000
4,2.75,45963,2,3,1995,535000
3,1.75,18400,1,3,1954,234500
3,1.75,9585,1,4,1973,374150
4,2.5,9542,2,3,2006,397000
3,2.25,10385,1,3,1988,613000
3,2.5,10474,1,4,1954,1.15E+06
4,1.75,4080,1,3,1924,595000
5,2.75,6858,2,3,2003,340000
4,2.5,5800,2,3,2005,388000
3,1.75,15210,1,3,1950,404000
3,2,6360,1.5,4,1946,810000
4,2.5,9359,2,3,1987,405000
5,3,10335,2,3,2000,726000
3,2.5,7214,1,4,1986,266000
5,2.25,7207,1,5,1970,722500
4,2.5,25002,1,3,1996,352000
4,1.5,8158,1,4,1961,265000
3,2.5,3920,2,3,2014,856000
3,2.5,4348,2,4,2006,346950
5,3.5,4797,2,3,2014,866059
3,2.5,4456,2,3,2004,410000
3,1.75,16817,2,3,1982,370000
3,1,389126,1.5,4,1919,230000
2,2,5010,1,3,1999,400000
3,1,9680,1,4,1959,172000
3,1.75,8480,1,4,1962,615000
4,3.5,9600,2,3,1998,860000
3,1.75,6000,1,5,1958,555000
3,2.5,4040,1.5,5,1926,579000
3,1.75,7030,1,3,1968,385000
4,2.25,12000,2,3,1977,420000
3,1.75,6750,1.5,5,1914,645000
3,2.5,6288,2,3,1996,549950
3,2.75,10000,1,5,1962,678000
4,2,8120,2,3,1950,199000
3,1,13824,1,4,1957,604000
5,1.75,10368,1,5,1963,268000
5,3.5,16305,2,3,2003,960000
3,2.5,7600,1,4,1980,509250
3,2.5,5372,2,3,1987,416000
3,1,8520,1,3,1967,190000
3,1.5,10000,1,4,1973,212000
3,2.5,9765,2,3,1985,325900
3,3.5,4088,2,3,1996,560000
3,2.5,5799,2,4,1987,275000
4,2.5,15411,2,3,1994,665000
4,3.5,7232,2,3,1926,1.51E+06
4,2,2410,1,3,1930,375000
3,1.75,6975,1,3,1979,359950
4,2.75,7200,2,3,2005,340000
2,1,8100,1,4,1948,401000
2,1.75,10766,1,4,1952,669000
4,2.5,6568,2,3,2004,638500
2,1.5,3760,2,5,1924,545000
4,1,7015,1,3,1973,524000
5,3.75,13260,2,3,2013,1.61E+06
2,1,4800,1,3,1947,280000
4,2.5,10841,1,4,1979,828000
3,1.75,10573,1,4,1984,223000
4,3.5,2261,2,3,1981,1.29E+06
2,2,155130,1,3,1970,750000
2,1,9207,1,3,1947,430000
4,1.75,10800,1,5,1948,711000
4,2.5,7014,2,3,1994,310000
5,1.75,9140,1,3,1957,415000
4,2.5,6600,2,3,1987,274900
3,3,36445,2,4,1980,525000
3,1,32214,1,3,1952,179500
3,1,2580,1.5,3,1910,478000
3,1.75,7350,1,3,1981,195000
4,3,10925,1,3,1980,385000
3,2.75,9505,1,3,1969,401000
4,2.5,6598,2,3,2002,522000
4,1.75,14417,1,4,1968,330000
3,2.5,4882,2,3,1999,503000
5,1.75,8400,1,4,1979,175000
4,3.5,6364,2,3,2014,963990
5,2,9972,1,4,1951,845000
2,1,4500,1,3,1905,157500
2,3,1709,2,3,2001,450000
4,1.75,11793,1,3,1950,925000
2,1,5029,1,4,1938,600000
4,1,4087,1.5,3,1911,709000
5,3.75,6480,2,5,1938,1.39E+06
3,2.5,6840,1,3,1984,248000
3,1,6630,1,4,1912,245000
2,1,4776,1,4,1942,332000
3,2.5,4273,2,3,2002,459950
3,2,1800,2,3,1994,425000
3,2.25,50965,1,3,1979,460000
6,2.5,12978,1,3,1967,838300
3,2.5,7200,2,5,1995,256000
3,2.75,13554,2,3,1984,864000
4,3.5,4440,2,3,1922,900000
3,1,7560,1,3,1958,145600
5,3,6730,1,5,1977,865000
3,2.25,8000,2,4,1969,250250
4,2,7641,1,4,1943,162000
4,1.75,7350,1,3,1973,450000
4,2.75,21344,1,2,1978,675500
3,2.25,5304,1.5,5,1947,697000
3,3.25,4080,2,3,2005,1.32E+06
3,1.75,16510,1,3,1984,490000
3,2.25,5742,1,3,1951,590000
4,1.75,16000,1,3,1957,280000
2,1,6500,1,4,1941,515000
3,1,5395,1,4,1909,576000
3,1.75,10574,2,3,1981,375000
3,1,7107,1,4,1980,478000
3,1,5200,1,5,1977,282000
4,4.5,10550,2,3,1976,1.40E+06
5,3.25,50405,2,3,1972,593500
4,3.5,174240,2,3,2004,724950
3,1.75,7500,1,4,1966,306000
4,1.75,7665,1,4,1975,341000
3,2.5,4400,1,3,1930,399950
5,2,3600,2,3,1992,534000
6,2.5,5700,2,3,2003,635000
2,1,3880,1,3,1927,350000
3,1.5,2700,1.5,3,1928,856000
4,3,1189,3,3,2000,582000
4,2.5,6742,2,3,2004,799000
3,2.5,3986,2,3,1999,423700
4,3.5,39190,2,3,1995,1.84E+06
3,2,43575,1,3,1988,322000
4,3.25,57499,2,3,2002,929000
2,1,5413,1,3,1939,443000
3,1.75,7700,1,3,1968,441500
4,3.5,108464,2,4,1979,875000
3,3.25,12431,2,3,1941,3.60E+06
2,1,5100,1,4,1947,450000
3,2.25,10500,1,3,1974,425000
4,1.75,9900,2,4,1978,660000
3,1.75,5560,1,4,1939,763101
4,2.75,14149,2,3,1992,499000
3,1.75,37363,1,4,1974,521000
2,1,423838,1,5,1925,302000
4,2.25,6260,2,3,1998,293000
3,2.25,4580,2,3,2011,335000
2,1,3090,2,3,1919,499000
3,1.75,5000,1.5,3,1924,600000
4,1.75,11041,1.5,4,1962,720000
2,2,2553,2,3,2005,195000
3,1,8423,1,3,1952,249000
3,2.25,9781,2,3,1989,334000
4,1.75,7810,1,3,1952,599950
2,1.75,1950,1,4,1982,149900
4,1.75,6500,1,3,1945,700000
4,1.5,6240,1,4,1960,525000
4,3.75,126759,2,4,1991,1.05E+06
3,2.5,8000,1,4,1977,402000
3,2,3480,1,3,1947,450000
3,2.25,43995,2,3,1981,520000
3,1.75,6980,1,5,1980,205000
3,2.25,175982,1,3,2004,635000
3,1,9600,1,5,1958,210500
2,1,6100,1,3,1940,406650
3,1.75,19998,1,4,1968,350000
4,1.75,6000,1,3,1942,425000
3,3.5,6402,2,3,1999,798000
3,1,9583,2,2,1908,180000
5,3.25,13238,2,5,1972,1.25E+06
4,2,4033,2,4,1925,435000
3,1.5,15867,1,3,1962,355000
5,3.25,14091,2,3,1918,3.00E+06
5,2.5,14455,2,5,1958,685000
3,1,12060,1,4,1960,311000
4,2.25,9600,1,4,1966,305000
3,2.5,4954,1.5,4,1924,675000
4,2.75,15405,1,4,1968,769000
3,1.5,9708,1.5,5,1954,430000
6,2,8660,1.5,4,1925,516250
3,3.5,10739,1,5,1940,760000
3,3.5,1217,2,3,2003,579950
3,2.25,7187,1,4,1980,476000
3,1.75,19200,1,4,1967,510000
2,1,5040,1,3,1955,205000
3,1,7350,1,3,1969,240000
5,3.5,16952,2,3,1991,738000
3,1.75,8102,1,5,1940,420000
3,1.75,9600,1,4,1969,455000
4,1,5500,1.5,5,1912,765000
4,1.5,7914,1.5,4,1962,372000
3,1,8360,1,2,1948,160000
4,2.5,9643,2,3,2003,772000
5,1.75,5640,2,4,1906,1.13E+06
3,1,3000,1.5,3,1924,479000
3,2.5,4941,2,3,1999,570000
4,1,8147,1.5,3,1959,350000
3,2.5,864,3,3,2004,353000
5,2.5,24755,2,3,2002,699000
3,2,8536,2,4,1955,265000
1,1,10235,1.5,3,1989,167000
4,2.25,8000,1,3,1964,500000
3,1,7200,2,4,1901,700000
1,1,5600,1,3,1918,295000
4,3.5,4080,2,3,2004,1.01E+06
2,1,5265,1,5,1969,209000
3,1.75,9200,1,4,1968,276000
4,2.5,5857,2,3,2002,380000
3,1.5,12500,1,3,1954,315000
4,2.5,60467,2,3,1996,685530
3,2,20000,1,4,1968,254600
3,2,5600,1,4,1942,230000
3,3,1249,3,3,2003,335000
4,2.5,9600,1,3,1980,550000
3,1,8050,1.5,4,1956,123300
4,2.75,9658,1.5,3,1966,275436
4,3.5,3435,1.5,3,1984,325000
4,2.5,40608,2,3,1997,635000
3,1.75,5000,1,4,1944,513000
4,2.5,35752,1,3,1980,580000
3,1,9272,1,3,1954,225000
3,1,9460,1,3,1961,265000
4,1.75,3000,1,3,1978,313000
2,1,8400,1,3,1948,296000
4,2.75,15800,1,3,1957,655500
5,1.75,12058,1,4,1951,250750
4,2.5,8545,2,3,2004,438000
3,2.75,54014,2,4,1967,590000
3,1,5250,1,4,1947,329500
3,2.25,9645,2,3,1987,1.20E+06
2,1,6000,1,3,1944,415000
4,2.5,42580,2,3,1984,900000
3,1.5,57499,1,3,1975,378000
2,1,403365,1,5,1905,474000
3,1,3625,2,3,1900,464000
3,1,7649,1,4,1956,310000
3,1.5,7190,2,5,1952,580000
3,2.75,505166,1,4,1962,999000
2,1,6480,1,5,1942,510000
3,1.5,7475,1,3,1940,650000
3,1,19600,1,4,1978,196000
4,1.75,11664,1,3,1952,220000
3,2.25,10628,2,3,1985,855000
3,1.75,10454,1,4,1978,483000
3,1,12000,1,3,1952,400000
3,2.5,7984,2,3,1993,435000
1,1,1060,1,3,2007,219500
4,3.5,23885,2,3,1996,2.95E+06
3,2.5,3218,3,3,2008,427000
2,1.5,4013,1.5,3,1900,430000
2,1.5,4013,1.5,3,1900,685000
2,1.5,6250,1,3,1937,495000
3,2.5,7942,2,3,1990,299950
4,1.75,46609,1.5,3,1940,390000
3,1.75,5863,1.5,4,1928,385000
4,2.5,10392,2,3,1995,740000
4,3,2350,2,3,1924,991700
3,2.75,9600,2.5,4,1909,765000
4,2.25,8734,2,4,1961,802000
4,2.75,20000,1,4,1969,950000
4,2.5,41167,2,3,1988,392000
3,2.5,218235,1,3,1989,590000
4,2.5,9000,2,2,1989,425000
5,1.75,15143,1.5,4,1944,765000
3,2.25,3488,2,4,1983,313500
3,1,6840,2,4,1947,320000
4,1.75,4485,1,3,1960,604000
3,2,1657,2,3,2004,570000
4,2.5,12028,2,4,1982,639000
4,2,10200,1,4,1963,335000
4,1.75,3520,2,4,1917,896000
3,1.75,12349,1,3,1957,259500
3,2,6000,1,4,1958,637000
4,2.75,8874,1,3,1980,307450
3,1.75,3561,1,4,1925,535000
4,2.25,4046,1.5,4,1940,669500
3,1.75,7148,1,3,1952,259000
4,1.5,3300,1,1,1919,441000
4,2.5,1612,2,3,2003,228800
2,2,4950,1,3,2006,530000
2,2,2272,1,4,1924,524000
4,2.25,4840,1.5,5,1925,430000
4,3.25,4760,1.5,5,1906,1.33E+06
3,1,12201,1,3,1969,210000
4,2.5,5040,1,3,1930,449000
2,2.5,7089,2,3,2004,945000
3,1,9130,1,3,1957,200450
3,1.5,6601,1,3,1985,219950
4,3,18362,1,4,1956,659500
4,2.75,8190,1.5,5,1966,746000
3,1.75,7129,1,3,1982,540000
5,2,5508,1,3,1968,485000
2,1,7844,1,3,1942,202000
4,5.5,45100,1,4,1950,2.53E+06
3,2.75,11200,1,3,1979,502000
2,2.75,10534,1,3,2003,279000
3,1,4120,1,4,1921,409500
3,2,15050,1,3,1983,453000
4,1,5500,1.5,3,1947,367000
3,2.5,5400,2,3,1992,550000
3,1.5,8314,1,3,1962,273500
4,3,7400,1,3,1978,505000
3,2.5,40705,2,3,1994,770000
4,2.25,7447,2,3,1984,565000
3,0.75,10092,1,5,1971,316000
4,1,7298,1.5,3,1960,160000
3,1,9529,1,3,1956,170000
3,1,9529,1,3,1956,235000
4,3.5,39098,2,3,1999,1.80E+06
3,1,7050,1,3,1967,310000
4,1.75,13629,1,4,1955,285000
2,1,4920,1,3,1942,280000
4,4.25,13860,2,3,2004,2.30E+06
4,2.5,16139,2,3,1989,763776
5,2.75,13572,1,3,1965,530000
1,1,211576,1.5,3,1996,362000
2,1,4920,1,3,1931,430000
3,1,3880,1.5,4,1919,456500
4,2.5,5257,2,3,1989,445000
3,1,10500,1,3,1963,386900
3,1,13750,1,4,1955,479000
3,2.5,4544,2,3,2000,525000
4,1.75,10890,1,3,1979,272000
4,1,13500,1.5,3,1950,517000
3,1.75,7800,1,4,1951,615000
3,1.75,7030,1,3,1965,439000
3,2.5,7866,1,4,1988,716000
2,1,6250,1,4,1942,308000
3,2.25,4500,2,4,1926,800000
3,2,5000,1,3,1941,575000
3,1.5,9310,1,4,1967,219950
4,2.5,8001,2,4,1987,770000
3,1.75,7505,1,3,1967,424950
3,2.25,45133,2,3,1984,387000
4,1.75,10920,1,3,1974,790000
2,1,4000,1,3,1933,156000
2,1,7000,1,5,1942,580000
4,2.25,10869,2,3,1970,490000
5,3.25,3650,2,3,1926,950000
2,2.5,1281,2,3,2008,400000
2,2.5,1638,2,3,2008,325000
4,2.5,6688,2,3,2002,365000
3,1.75,6000,1.5,4,1920,255000
5,3.5,13261,2,3,1984,985000
4,2.5,10722,1,3,1967,595000
3,1,7085,1,5,1944,427500
3,1.5,4000,1.5,3,1915,728000
2,1,4000,1,3,1940,549950
3,2,10501,1,3,1954,650000
5,3.25,13394,1,4,1968,1.13E+06
3,1,6500,1,5,1969,203000
2,1,3300,1,5,1903,311000
6,2,7684,1,3,1932,387500
4,2,7200,1,3,1963,370000
2,1,6100,1,3,1951,228000
2,1.75,4800,1,5,1923,740000
4,2,6630,1,3,1974,200000
3,1,3500,1,4,1927,660000
4,2,8426,2,3,1944,275000
2,1,5250,1,3,1938,708000
3,2.5,9675,2,3,1993,280000
4,2.5,5702,2,3,2002,325000
3,2.5,47480,2,3,1995,495000
2,2,3810,1.5,3,1922,691000
4,2.5,18362,2,4,1983,2.29E+06
3,2.5,22482,1,5,1979,329500
3,2.5,7458,2,3,1989,348000
2,1,6212,1,4,1947,425000
3,1,21043,1,3,1942,210000
2,1,4895,1,3,1951,285000
3,1,8840,1,3,1966,222000
4,2.5,9600,1,3,1961,200000
3,2,8749,1,3,1995,247500
4,5.5,217374,1,3,2006,1.50E+06
3,1.75,9452,1,3,1942,190000
4,2.5,4950,1.5,4,1921,975000
4,3,4649,2,4,1925,1.13E+06
4,1.75,12540,1,4,1958,283200
3,2.5,8073,1,4,1937,650000
3,2,6610,1,4,1954,449500
3,1.75,6682,1,3,1987,400000
1,1,4080,1,3,1942,89950
3,1,8291,1,3,1950,158800
4,3,7108,2,3,2011,870000
3,1.5,18568,1,3,1989,196000
3,1.75,8603,1,5,1940,850000
4,2.5,5101,2,3,2005,775000
3,2.5,4308,2,3,2001,483500
3,1.5,21929,2,3,1990,387000
3,3,30869,2,3,1951,900000
3,1.5,5000,1,3,1964,336000
2,1,6000,1,5,1949,415000
0,0,979,3,3,2006,380000
3,1.5,4400,1,3,1909,350000
4,5.25,10369,2,3,2005,1.32E+06
3,1.75,5800,1,4,1945,765000
4,2.5,6736,2,3,2013,527000
4,2.75,5000,1.5,5,1908,524000
2,1,5413,1,3,1937,448000
4,3.25,241322,2,3,1981,775000
3,1,9900,1.5,4,1910,176500
4,2.25,11120,1,4,1952,750000
4,2.25,6000,1,5,1951,1.27E+06
3,1,6750,1,3,1958,250000
3,2.75,6390,1.5,5,1900,759000
3,2,4640,1.5,4,1926,640000
3,3.25,4182,2,5,1910,990000
4,1.75,7945,1,4,1946,395000
2,1.5,1103,2,3,2006,275000
3,2.5,4755,2,3,1997,390000
5,2.75,4680,1.5,4,1913,752500
2,1,5000,1.5,4,1906,450000
2,1,5100,1,4,1909,473000
3,1.75,10450,1,3,1973,178500
3,2.5,59058,1,3,1985,485000
3,1.5,8415,1,4,1982,215000
4,1.75,4862,1,5,1919,589000
4,1.75,9993,1,3,1918,325000
3,2.5,1937,2.5,3,2004,580000
4,1.75,7500,1,3,1954,181100
3,2,4200,1,4,1908,345000
3,1.75,8729,1,3,1960,781000
4,1,3630,1.5,3,1903,402500
3,1.5,7200,1,3,1948,426000
3,2.5,4515,2,3,2005,389000
6,3,36171,2,4,1970,670000
4,3.25,5800,2.5,3,1909,1.51E+06
3,2.25,3230,2,3,1997,288400
4,2,4635,1.5,5,1908,700000
4,3,6000,1,3,1968,830000
2,2.75,32044,2,3,1989,1.90E+06
2,1,6380,1,3,1967,350500
3,1.75,9000,1,4,1956,431000
3,2.5,8250,1,3,1958,485000
3,1.5,7500,1,4,1949,780000
2,1.5,9000,1,3,1957,720000
3,1,73616,1,3,1971,415000
4,1,5500,1,3,1941,480000
4,2.25,10000,1,4,1979,452250
3,2.5,8170,2,3,1985,316000
2,1,17635,1,3,1945,700000
4,2,5500,1,3,1925,285000
3,1.75,4050,1,5,1906,575000
3,2.25,12430,1,4,1960,590000
4,1.75,20868,1,3,1956,587500
4,2.25,10270,1.5,4,1968,364000
3,2.5,10190,2,3,1986,490000
3,2.25,36704,1,4,1978,410000
3,2.5,4297,2,3,1999,520000
3,1,6591,1,4,1947,389000
2,1,6000,1,3,1910,450000
3,2.5,4240,2,3,2006,325000
2,1,5000,1,3,1924,660000
3,2.25,8170,2,3,1995,850000
3,2.5,9874,2,3,1990,285000
2,1,3121,1,4,1923,395000
3,2,2401,2,3,1996,440000
3,1.75,5648,1.5,5,1917,249000
3,1.75,4400,1.5,4,1930,635000
3,2.5,48993,2,3,2001,515000
3,3.25,6073,2,4,1954,1.40E+06
2,1,8100,1,3,1955,200000
4,2.75,8103,1,3,1970,1.14E+06
4,1,4600,1,3,1946,445000
3,1.5,4200,1.5,4,1920,555000
4,2,6413,1,4,1950,537000
3,1.75,7500,1,4,1968,315000
5,2.5,7266,2,3,2000,805000
4,2.5,9030,1.5,4,1969,414000
2,1.5,1648,2,3,2002,375000
4,1.75,12523,1,3,1952,401000
3,1,4583,1,3,1967,210000
2,1,5110,1,4,1939,365000
5,1.5,18200,1,3,1960,178000
2,1,4000,1,4,1923,710000
2,1,7980,1,1,1928,255000
5,2.25,38009,1,3,1977,528000
4,4.25,26040,2,3,2006,537000
4,1.5,6110,1,3,1955,442000
3,1.75,19550,1,3,1978,375000
4,2.5,3220,2,3,2005,637250
3,1.75,7200,1,5,1942,427500
4,2.5,89298,2,3,2004,700000
3,1.75,5750,1,4,1909,680000
2,2,8251,1,3,1941,393820
4,2.75,7200,1,5,1940,525000
2,1.75,3816,1,2,1929,505000
3,2,11337,1,4,1959,555565
3,1.75,10819,1,4,1942,650000
5,3.25,7254,2,3,2005,632500
3,2.5,3800,2,3,2005,269000
4,2.75,7716,1,3,1978,405000
3,3.5,15745,2,3,1986,845000
3,1,8820,1,4,1961,234000
4,1.75,4236,1.5,4,1946,638000
3,1.75,10950,1,3,1967,290000
1,0.75,12981,1,5,1920,262000
4,2.5,5835,2,3,2003,270000
4,2.25,4876,2,4,1948,875000
3,2.25,7840,2,4,1982,299000
3,1,6000,1,5,1947,551000
3,2.75,5280,2,3,1950,350000
3,2.5,13367,2,3,1992,1.90E+06
2,1.75,5000,1,3,1915,511718
4,3.25,49222,2,5,1978,965000
4,2.25,4673,2,3,1999,475000
4,2.75,4000,1.5,5,1928,1.06E+06
2,1,15450,1,4,1926,252000
6,2.5,13700,1,5,1964,580000
2,2.25,1172,2,3,2008,374950
5,4,9900,2,4,1979,739000
4,1.75,7200,1,5,1975,271000
2,1,7550,1,3,1986,230000
3,2.25,9150,1,3,1984,210000
3,2.75,5700,2,4,1988,350000
3,2.25,12000,1,4,1968,491500
3,2.5,9825,1,4,1994,325000
3,2,7625,1,3,1987,190000
4,2,4690,1.5,4,1945,658600
3,1.5,8951,1,3,1958,299950
5,2,3000,1.5,3,1931,464000
3,1,18144,1.5,3,1942,308000
3,1,7650,1,3,1919,625000
3,1.75,9450,1,4,1977,240000
4,2.5,35996,2,3,1995,530000
5,4.5,8944,2,5,1939,1.00E+06
1,1,2400,1,3,1918,439000
4,1.75,6200,1,4,1948,575000
3,1.75,7238,1,3,1959,418000
4,3.75,10949,2,4,1930,1.21E+06
4,3.75,3200,1.5,5,1925,1.10E+06
3,3.75,8550,2,3,2007,1.90E+06
3,2.5,40278,2,3,1985,580000
2,1,7372,1,5,1939,380000
3,1,5375,1,4,1924,256000
3,1,7066,1,3,1957,349950
4,2.5,7200,2,3,1962,691500
3,1.75,2500,1.5,4,1908,556000
3,2.25,7084,1,4,1968,218000
4,2,4500,1.5,5,1908,425000
3,3.25,38509,2,3,1998,935000
4,1.75,11300,1,4,1974,732000
3,1,10330,1,4,1952,805500
3,1.75,5750,1,3,1915,507250
4,2.5,67369,2,3,1990,800000
3,2.25,8276,2,4,1979,600000
4,1.75,12044,1,3,1982,627800
2,2.25,6000,2,5,1902,660000
2,2.5,3649,2,3,1986,153503
3,2.25,9163,1,3,1975,456500
5,2.5,8100,2,3,2002,1.31E+06
3,2.5,11448,2,3,1997,843500
3,1,4080,1,3,1925,625000
2,1.75,4080,1,3,1921,527000
5,3.75,13738,1.5,4,1951,1.97E+06
5,2.5,50094,2,4,1969,1.00E+06
4,3,5300,2,3,1908,855000
4,3.25,27591,2,3,2000,725000
1,1,7200,1,3,2000,315000
3,1.75,16000,1,3,1978,180000
2,1,5000,1,3,1926,700000
3,1,8625,2,4,1962,476500
3,1.5,9048,1,3,1960,193000
4,2.5,6663,2,3,1990,295000
2,1,4880,1,4,1925,363000
4,2.5,21794,2,4,1990,875000
3,2,8250,1,4,1952,257200
3,2,11250,1,3,1968,555000
3,2.25,15559,2,4,1963,380000
4,2.75,7330,2,3,1989,282000
4,2.5,6034,2,3,1990,545000
3,1.5,5000,1.5,3,1926,550000
3,1.5,5000,1.5,3,1926,921500
3,1.5,2880,2,5,1904,885000
4,2.25,6660,1.5,3,1940,820000
3,1,7315,1,5,1981,289000
1,1,5750,1,3,1942,334000
3,1,5233,1,5,1906,206000
3,2.25,10733,1,3,1958,491950
3,2.5,7770,2,3,2003,430000
3,2,7995,1,4,1980,208000
4,2.25,6390,1,3,1978,245000
2,1,2500,1,4,1918,426000
3,2.5,3742,2,3,2006,400000
3,1,5100,1,3,1942,553000
2,1,4680,1,3,1948,296000
3,2.5,32660,1,4,1977,428000
4,2.5,6156,1,3,1980,325000
2,1,6366,1,5,1952,294000
3,1.75,8424,1,4,1977,410000
4,4.25,57514,2,4,1939,590000
3,2.25,4050,2,4,1985,445000
4,2.5,5362,2,4,1928,921000
3,1.5,37616,1,3,1955,496000
2,1,8550,1,3,1947,95000
4,1.75,6396,1,4,1945,359000
3,2.5,88426,1,4,1985,452500
4,1.75,6200,1.5,4,1946,555000
5,3,42316,1.5,4,1984,549900
5,3,10583,1,5,1952,569000
4,2,7350,1,5,1974,318500
2,1.5,1093,2,3,2007,487028
3,1,7560,1,4,1959,240000
3,2.25,9806,1,3,1965,253000
5,1.75,38125,1,4,1947,380000
2,0.75,16828,1,4,1958,250000
2,1.75,19141,2,3,1977,368500
3,1,27586,1,3,1969,340000
2,1,4000,1,3,1918,400000
3,2,4625,1.5,5,1927,835000
3,2.5,7062,2,3,1993,299000
6,2.25,6600,2.5,5,1910,1.68E+06
3,2,5706,1,3,1998,265000
4,2.5,7513,2,3,1998,437500
3,1.75,4725,2,3,1947,865000
3,2,7200,1,3,1988,626000
2,2,1118,2,3,2009,247300
4,3.5,20377,2,3,1997,2.08E+06
3,1,6000,1.5,2,1937,425000
5,3.5,10200,1,3,1970,905000
3,2.5,2550,3,3,1990,641250
4,2.5,9679,2,3,1984,675000
4,2.75,115434,2,3,2002,845000
4,1,8400,1,4,1954,401500
3,2.5,3755,2,3,1987,395000
5,2.75,18050,1,5,1958,1.10E+06
3,1,5490,1,3,1954,145000
3,1,3825,1.5,3,1930,900000
3,1.5,8636,1,4,1968,374500
4,2.25,10451,2,4,1965,850000
3,1,5750,1,3,1951,490000
3,2.5,6773,2,3,1993,304000
4,2.25,7200,1,4,1963,400000
3,2,10000,2,3,1992,454000
2,2,4750,1,2,1950,160000
3,1.75,8030,1,3,1966,542000
5,2.5,17300,1,4,1968,403500
4,2.5,8471,2,3,2003,418000
4,1.5,6000,2,3,1951,406000
3,2.25,10000,1,3,1978,242500
4,2.5,5440,2,3,2003,425000
4,2,4815,1.5,3,1909,613000
3,2,11481,1,2,1995,189000
4,2.25,9450,1.5,3,1947,700000
3,1,6516,1.5,4,1935,750000
2,1,4650,1,4,1906,494000
4,3,7778,2,3,2000,700000
2,2.5,5580,1,3,2007,705000
2,1.75,16470,1,3,1977,356000
3,1.75,12558,1,4,1984,625000
2,1,7500,1,3,1940,144975
4,4.5,5906,2,3,2004,970000
3,1.75,12596,1,3,1977,415000
4,3,7048,1,4,1979,485000
3,3,11769,2,3,1997,799950
4,2.5,35001,2,3,1991,783350
1,1,1362,1,3,1943,430000
5,4.75,13431,2,4,1941,2.54E+06
4,2.5,43386,1,3,1991,975000
3,1.5,8050,1,3,1950,950000
2,1,8157,1.5,3,1944,350000
4,2.75,7510,2,3,2008,637000
3,2,105415,1,3,1991,895000
2,2,7200,1,5,1946,579000
4,1.75,27072,1,3,1958,314900
2,1,6000,1,3,1945,122000
2,1,3000,1,5,1927,405000
2,2.5,1349,2,3,1997,553650
2,2.5,1853,3,3,2007,369900
3,2,24829,1,4,1979,225000
2,1,9350,1,3,1918,160000
4,2,199940,1,3,1961,449500
3,1,8266,1,4,1953,650000
4,2.5,43088,2,3,1977,542126
3,1.5,15606,1,3,1985,309950
2,1,16524,1,3,1913,115000
2,1.5,20000,1,4,1957,221700
3,2.5,3880,1.5,4,1915,726000
3,1.75,5733,1,4,1926,515000
4,2.5,10753,2,3,1991,756000
4,3.75,5850,2,5,1927,1.57E+06
4,2.25,12007,1,4,1979,442000
4,2,7992,2,4,1975,260000
2,1.75,2723,1,4,1923,390000
2,1,3825,1,3,1929,459500
3,1.5,8000,1,5,1948,330000
2,1,7128,1,3,1944,189000
3,1,9322,1.5,4,1954,280000
2,1.75,9519,1,2,1948,400000
4,2,11193,1,5,1942,368000
4,1.75,7875,1.5,4,1968,390000
